220019;Vũ Văn Thành;2008-10-23;nam;Khánh Hòa;220019@gmail.com;11A1
220025;Nguyễn Đình Thi;2008-12-01;nữ;Kiên Giang;220025@gmail.com;11A1
220027;Nguyễn Ngọc Hoài Thu;2008-06-15;nữ;Đồng Tháp;220027@gmail.com;11A1
220029;Phạm Thị Thanh Thuý;2008-06-14;nữ;Phú Thọ;220029@gmail.com;11A1
220030;Huỳnh Trần Thư;2008-03-05;nữ;Thanh Hóa;220030@gmail.com;11A1
220001;Hồ Ngọc An;2008-03-05;nữ;Hà Nam;220001@gmail.com;11A2
220002;Lê Nguyễn Thúy An;2008-08-24;nữ;Tuyên Quang;220002@gmail.com;11A2
220004;Nguyễn Khắc Bảo Anh;2008-05-03;nữ;Đồng Nai;220004@gmail.com;11A2
220005;Nguyễn Ngọc Lan Anh;2008-11-09;nữ;Quảng Ninh;220005@gmail.com;11A2
220010;Nguyễn Võ Bích Lam;2008-06-25;nữ;Hà Giang;220010@gmail.com;11A2
220015;Nguyễn Văn Thanh;2008-12-14;nam;Hưng Yên;220015@gmail.com;11A2
220018;Nguyễn Tiến Thành;2008-02-24;nam;Bà Rịa - Vũng Tàu;220018@gmail.com;11A2
220021;Đặng Văn Thắng;2008-06-08;nam;Hà Giang;220021@gmail.com;11A2
220023;Lê Duy Thắng;2008-05-17;nam;Phú Thọ;220023@gmail.com;11A2
220003;Lê Thanh An;2008-06-13;nữ;Vĩnh Long;220003@gmail.com;11A3
220006;Nguyễn Phương Anh;2008-11-12;nữ;Đà Nẵng;220006@gmail.com;11A3
220007;Phạm Võ Hoài Anh;2008-10-14;nữ;Thái Nguyên;220007@gmail.com;11A3
220008;Phạm Hồng Ảnh;2008-10-04;nữ;Tây Ninh;220008@gmail.com;11A3
220009;Phạm Thị Như Duyên;2008-01-25;nữ;Hải Dương;220009@gmail.com;11A3
220016;Lê Tiến Thành;2008-03-25;nam;Kon Tum;220016@gmail.com;11A3
220017;Nguyễn Công Thành;2008-10-11;nam;Thừa Thiên Huế;220017@gmail.com;11A3
220020;Lê Tấn Thạnh;2008-10-03;nam;Đắk Nông;220020@gmail.com;11A3
220024;Nguyễn Hữu Thế;2008-09-03;nam;Trà Vinh;220024@gmail.com;11A3
220026;Nguyễn Văn Thịnh;2008-04-03;nam;Tuyên Quang;220026@gmail.com;11A3
220022;Đinh Xuân Thắng;2008-11-28;nam;Thanh Hóa;220022@gmail.com;11A2
220028;Lê Ngọc Thuận;2008-05-31;nữ;Bình Phước;220028@gmail.com;11A1
210001;Phan Hoài Bích;2007-03-02;nữ;Yên Bái;210001@gmail.com;12A2
210002;Lê Quang Minh;2007-05-26;nam;Nam Định;210002@gmail.com;12A1
210003;Nguyễn Ngọc Phương;2007-11-10;nữ;Quảng Nam;210003@gmail.com;12A1
210004;Đinh Ngọc Phượng;2007-12-10;nữ;Thừa Thiên Huế;210004@gmail.com;12A1
210005;Bùi Minh Quân;2007-02-12;nam;Điện Biên;210005@gmail.com;12A1
210006;Phạm Thanh Quốc;2007-07-08;nam;Ninh Bình;210006@gmail.com;12A2
210007;Lê Phú Quý;2007-11-26;nam;Bình Phước;210007@gmail.com;12A1
210008;Nguyễn Vũ Ngọc Quyên;2007-11-10;nữ;Quảng Ngãi;210008@gmail.com;12A1
210009;Lý Quốc Quyền;2007-03-26;nam;Hà Tĩnh;210009@gmail.com;12A1
210010;Nguyễn Thị Như Quỳnh;2007-10-18;nữ;Thái Bình;210010@gmail.com;12A1
210011;Lê Trường Sa;2007-02-25;nam;Bà Rịa - Vũng Tàu;210011@gmail.com;12A2
210012;Lưu Nguyễn Quốc Sơn;2007-04-29;nam;Cà Mau;210012@gmail.com;12A2
210013;Nguyễn Hải Sơn;2007-09-05;nam;Bắc Kạn;210013@gmail.com;12A1
210014;Phan Đức Sơn;2007-04-12;nam;Bình Dương;210014@gmail.com;12A2
210015;Vũ Thị Hoài Sơn;2007-09-11;nữ;Bình Thuận;210015@gmail.com;12A1
210016;Trần Thị Minh Sương;2007-05-27;nữ;An Giang;210016@gmail.com;12A2
210017;Bùi Anh Tài;2007-08-24;nam;Bình Thuận;210017@gmail.com;12A2
210018;Vũ Hồng Tâm;2007-11-02;nữ;TP. Hồ Chí Minh;210018@gmail.com;12A2
210019;Nguyễn Minh Tân;2007-04-23;nam;Bạc Liêu;210019@gmail.com;12A2
210020;Hồ Nguyễn Xuân Thanh;2007-03-19;nữ;Hưng Yên;210020@gmail.com;12A2
